word error
those -0.1215262546753272
reptilian -0.03293339296793327
ancestors 0.010087731557014666
richly -0.07824910795077299
presenter 0.04479983162421447
phasing -0.033912083468376056
affront 0.09184516393221343
kingdom -0.07746200225292107
inside -0.017244469388064017
regime -0.1377163529396057
dependent 0.03025753492027776
now -0.06722835546884781
maison 0.015433277266147814
landfills 0.04637847267664397
circuit 0.09287175555259755
sheet -0.1104503720998764
black-and-white 0.05596897177971327
art -0.07737418921875866
play -0.0407564640045166
newcomer -0.06732253730297089
pulled -0.06185056708562068
happens -0.07995389287288372
80 -0.09301959646817966
obstructive 0.003533721161194353
entire -0.0008270191458555273
yours -0.06120481342077255
less -0.021865123806058234
lung -0.12727084755897522
fear -0.05274636326012788
stranglehold 0.22420392257089802
egalit‚ -0.037141580803272047
celebrations 0.19155997997866228
rich -0.07422114755862798
blair -0.032703414267776156
altercation 0.09394422498268959
portraits -0.014605040733630836
light -0.02798259120721083
suffered -0.05359101142638768
founded -0.07391173908343682
gains 0.071331682209021
jeremy -0.09193862076753224
equator 0.06345226768499766
pedigree 0.009618769996823411
likes 0.0003406277833840829
bother -0.06813544627183522
roadshow -0.05767969634288396
oddity -0.017357030358069986
signposts -0.012008453790958107
radio -0.021687054714755787
relief -0.007317657144660622
radio 0.003929926374359356
resent -0.10617142915725708
burnley 0.04253134742761269
rake 0.05005654692649841
whitelaw 0.07534525545043315
100m -0.015599348988288492
republican 0.08937712063392003
said -0.0870621863840632
inflation-fighting 0.3515994392144375
washed -0.011836720455406062
ralph 0.00709653951418706
bondage 0.026203674192611992
minimising 0.03297598373431426
viewing -0.08024839904063787
cynically 0.14530178484244224
issps -0.003226565435910836
treats -0.010727260930415906
drivers 0.0057112720245734265
lake -0.02879735674613561
no -0.043352536478685956
huge -0.07770542658510662
ear -0.05867934870159524
contend 0.034601633699658595
as -0.04095525950990085
global -0.09595791097634877
place -0.04242271762591433
sceptical -0.06231994315599784
earnings 0.03997935144565044
becoming -0.012165693136361927
reform -0.1061854362487793
bird -0.1316884458065033
busy -0.0520407035946846
tried -0.031371896198162656
isabela 0.02462484553838387
retention -0.023904373184737995
school -0.07452745514440472
icon -0.0006028085182874579
sandpaper -0.03357289120172843
banged -0.16613389398807135
chortling 0.05669878881711227
owed -0.058893559834895984
demons -0.05575924958938207
been -0.09471221246896569
arrives -0.07600358720773305
chiefs 0.02324527139082934
lukewarm -0.020954674444137473
automatically 0.09333581649340117
arabic -0.0008790693604029121
preoccupied -0.06130529787295903
guaranteed 0.025695917124931633
overall -0.06309930827373113
living -0.022731726559308857
hawaii -0.005636832079826255
anticipated 0.030593183751289665
customer 0.07855829921288368
reminiscing 0.03907130085504973
' -0.009796702639484164
mini -0.08170831203460693
skid -0.11431930214166641
22 -0.0690724104642868
influenced 0.1280669527940261
balances -0.026668994090495963
snails 0.005067277031067095
concept -0.047728507182536975
integrated 0.18026622270162293
harbours 0.1317657446727539
ovens -0.0302626460026472
rages 0.09217040512997371
dreariness 0.08667718045986617
associate 0.003162730580721154
permanently 0.027842843905091286
counsellors 0.17795280725336993
recorded -0.06679624166244115
swedish -0.09274720839965037
non-school 0.05122368649030343
vomit 0.013488996716646044
unremarkable 0.06363978103185311
topical 0.12102376383084518
blow -0.1384839415550232
original 0.018658633330608715
sixties -0.09045555907436925
slightly -0.022172222698564517
1972 -0.006257640532194037
violence -0.04226156763541392
worshippers -0.0010300009296490553
shove -0.07075357437133789
ten -0.02786029689013958
revelation 0.07763361281309375
reminder 0.0555960001089634
reoffend 0.004557657652558427
would -0.09651416970117913
shape 0.04624822449225646
tackle -0.11464820496546915
torture 0.002546575780098259
until -0.06076843914313194
beside -0.06798120874624985
alteration 0.07152613882835099
hoping 0.03197010353398629
monitored -0.1257852166891098
historical 0.11363166995728627
classics -0.026325318102653206
! -0.07203547932810095
trouble -0.03261257380574615
college -0.08064074457710624
pm -0.011518184764262952
20bn 0.155843830261475
any -0.04653458965894504
thomas -0.08681302517652512
32 -0.041875362396240234
humane 0.05893334612632409
progressed 0.02173740010804091
cracking -0.03167829356896571
among -0.03027327938212289
displays 0.04263926010865432
14 -0.09067044999354924
gate -0.05935937166213989
scores -0.004056988283991814
fading -0.06614472850775108
fed -0.007032883353531361
wristwatch 0.1342214319902735
brave -0.07220522677287076
walter -0.028763850721029133
practice -0.009004901234920204
brew -0.03500475734472275
exploiting 0.26794935361697125
snatch -0.10495264083147049
religion -0.04588173692807172
maha 0.04826304144584216
chew -0.07826438546180725
cultures -0.014728975219604291
arrival -0.14442676152938452
signature -0.005053111757987588
chatting -0.02399791471469096
combined 0.028466111574417502
produces -0.00585292642697309
kings -0.03324363972896184
metre -0.04103217713343791
economists 0.07148724813491872
cooing -0.07754767533296193
unaffected 0.020292006624050646
acquis 0.28427167886342763
delights 0.08302566757759987
easy -0.02406035210841741
before -0.05541136560958272
survey -0.09197588061165607
began -0.046083225653721735
