word error
those -0.1890529091791673
reptilian -0.054838579893112194
ancestors -0.028283867239952076
richly 0.22761757373809816
presenter 0.1276759386062622
phasing 0.05758507251739503
affront 0.3860170662403106
kingdom -0.17659353017807006
inside -0.03526864392416823
regime -0.09227429628372191
dependent 0.07022964358329775
now -0.11618877748648325
maison -0.09525500535964965
landfills 0.3043345272541046
circuit -0.050582653284072854
sheet -0.22551678121089935
black-and-white 0.22138258814811707
art -0.22029238513537816
play -0.23830943465232848
newcomer -0.07413430809974669
pulled -0.18776050209999084
happens -0.25593512058258056
80 -0.21224605441093444
obstructive 0.16044530272483826
entire -0.011534532308578482
yours -0.07688091993331908
less -0.16675154255784078
lung -0.16039335131645202
fear -0.2501398238870832
stranglehold 0.538556170463562
egalit‚ -0.05836830735206605
celebrations 0.2979632198810578
rich -0.18480528990427655
blair -0.11792416227491279
altercation 0.2826804220676422
portraits 0.08899063467979429
light -0.1052322733402252
suffered -0.3332515299320221
founded -0.14232661128044127
gains 0.2031105399131775
jeremy -0.14566199779510497
equator 0.062010017037391674
pedigree -0.23062642216682433
likes -0.1223728835582733
bother 0.02158252199490865
roadshow -0.011876302957534779
oddity 0.19712182879447937
signposts 0.19995766282081606
radio 0.01744560996691391
relief 0.14927945236365003
radio -0.011213167508443145
resent -0.1882090151309967
burnley -0.01573706269264219
rake -0.2203156054019928
whitelaw 0.0025195976098378314
100m 0.019588255882263206
republican 0.22612415671348574
said -0.024113722817570543
inflation-fighting 0.5012995779514313
washed -0.1441782037417094
ralph -0.06241613030433654
bondage 0.03886073231697085
minimising 0.01944589614868164
viewing -0.11114730238914489
cynically 0.5341499030590058
issps 0.15137820243835448
treats 0.08609868884086608
drivers -0.3980092167854309
lake -0.02668266892433166
no -0.22791906300045195
huge -0.19970176560538158
ear -0.11219670971234638
contend 0.027726644277572654
as -0.23020337566416316
global -0.12956979274749755
place -0.2512364310877664
sceptical 0.0587907671928406
earnings -0.021782171726226818
becoming -0.17862074971199035
reform -0.2417169153690338
bird -0.48998773097991943
busy -0.30742010474205017
tried -0.09642972350120543
isabela 0.04746811985969546
retention -0.009774967034657744
school -0.3027431635480178
icon -0.31146506071090696
sandpaper 0.12610685229301455
banged -0.11516226232051849
chortling -0.060230743885040294
owed -0.31403120756149294
demons -0.06563782095909118
been -0.3652006328105927
arrives -0.2183990716934204
chiefs -0.09318103790283205
lukewarm -0.04887124300003051
automatically 0.27074859142303465
arabic -0.10649322271347045
preoccupied -0.1743922173976898
guaranteed 0.26884640753269196
overall -0.04915073812007903
living -0.1969856798648834
hawaii -0.1967599332332611
anticipated 0.026176339387893655
customer 0.37292717099189754
reminiscing 0.2197919487953186
' 0.05857747684825548
mini -0.39596739411354065
skid -0.1376253455877304
22 -0.3717493236064911
influenced 0.4023069858551025
balances 0.04825373291969298
snails -0.07507535815238953
concept -0.06186341444651286
integrated 0.10924401879310608
harbours 0.23434479236602784
ovens -0.15834386944770812
rages 0.01585354208946227
dreariness 0.015173584222793579
associate -0.0481634557247162
permanently -0.55779629945755
counsellors 0.08200433850288391
recorded -0.0478983700275421
swedish -0.22610123753547667
non-school 0.19178555011749265
vomit 0.007896860837936392
unremarkable 0.2555114269256592
topical -0.1270722985267639
blow -0.1952151894569397
original 0.031017737918429933
sixties -0.15614332755406696
slightly 0.16788640022277823
1972 -0.21080961028734843
violence 0.04833902120590211
worshippers 0.10273263156414031
shove -0.25366806983947754
ten -0.22064461708068847
revelation 0.2641375958919525
