word error
those -0.004467591666561341
reptilian -0.09515894949436188
ancestors -0.05491073139328688
richly 0.00799907652459353
presenter -0.15035036206245422
phasing -0.021465124822634712
affront 0.08900365838242605
kingdom -0.05200407468476016
inside 0.04918428917423864
regime 0.17122950330274422
dependent 0.16297167139326776
now 0.02926122057433224
maison -0.03227715281535662
landfills -0.13631409406661987
circuit -0.01852958770726164
sheet -0.004767732257098284
black-and-white 0.016031176310274245
art 0.05864151328723265
play 0.005722731174895662
newcomer -0.05836181790979848
pulled -0.03849389296161551
happens -0.07492961364559349
80 0.03560281559524174
obstructive 0.06535610908325948
entire 0.0022341971306994307
yours -0.1051735132932663
less -0.07295209295459036
lung 0.11762151513867375
fear -0.03724223012127545
stranglehold 0.026864480828038148
egalit‚ 0.012582084941859334
celebrations -0.08044483435987937
rich -0.02681136985701625
blair -0.03004972211874344
altercation -0.015182307324011421
portraits -0.043162605545461454
light 0.021566569097026186
suffered -0.10067115724086761
founded -0.12946166600663359
gains 0.22176788851338436
jeremy -0.020275814788331736
equator 0.25245832120362754
pedigree -0.007343852142422849
likes 0.06259769132218826
bother 0.042487163235126704
roadshow 0.002670215241656254
oddity -0.0733141154050827
signposts 0.18263870845204783
radio -0.04050744251612366
relief 0.037870327896872946
radio -0.044376529020106206
resent 0.13978696654654937
burnley -0.11831081658601761
rake -0.10870820025754821
whitelaw -0.06390693555993938
100m 0.04387712688883355
republican -0.024732682188889257
said -0.024492933297146482
inflation-fighting 0.15903898275835293
washed 0.0026515571170445257
ralph -0.02746399315506623
bondage -0.06610479955576971
minimising 0.2841682928947755
viewing 0.01228497134583291
cynically 0.008948517206624818
issps 0.10628899378260745
treats 0.09177123718277602
drivers 0.022372926247194655
lake 0.0030803671550183043
no 0.038747996485903775
huge 0.04717606468990366
ear -0.12360953693060041
contend 0.05584338595738439
as 0.03216606367091465
global -0.108397225740375
place -0.07214345885927996
sceptical 0.037670535693848275
earnings 0.029869440391107838
becoming -0.06172972052191464
reform 0.11358123512578353
bird -0.07277511060237885
busy -0.10681168735027313
tried -0.06689837988441934
isabela -0.09855241569238342
retention 0.07575099307889685
school -0.11252698858590066
icon -0.10763706262791925
sandpaper 0.18343702034331977
banged -0.08060657978057861
chortling 0.038198150746566656
owed -0.09709145873785019
demons -0.00703598735786503
been -0.13529614180448218
arrives -0.16600890626702708
chiefs -0.11039005259941448
lukewarm -0.04898964986205101
automatically 0.21684510994490147
arabic 0.04400608506672013
preoccupied 0.02159316455549337
guaranteed -0.01595519060554071
overall -0.07245626680037566
living -0.051297113764538334
hawaii -0.07806354427650679
anticipated 0.056831424175092765
customer 0.017684010537306533
reminiscing -0.08190560126839586
' -0.05324280858698201
mini 0.011050892457608347
skid 0.03886231833197615
22 -0.046953827142715454
influenced -0.17705412209033966
balances 0.11208009274609643
snails -0.002598564162946737
concept -0.05201570250887711
integrated -0.10451008379459381
harbours 0.08654263874108176
ovens -0.06905463337898254
