word error
those 0.048338182846253575
reptilian -0.029121683910489082
ancestors -0.09286412596702576
richly 0.00010429206304252148
presenter -0.05895785614848137
phasing 0.14607423047224682
affront 0.46272996440529823
kingdom -0.05472682913144429
inside 0.06264303074706168
regime -0.04142539203166962
dependent 0.021792999572224095
now 0.030035819237430893
maison -0.036076951771974564
landfills 0.004279846325516701
circuit -0.053248804062604904
sheet 0.01289930660277605
black-and-white 0.15443557562927407
art 0.03604282491973469
play -0.055990852415561676
newcomer 0.04470311353604001
pulled -0.05011920630931854
happens -0.03345898166298866
80 0.08288904613194367
obstructive -0.05521119013428688
entire -0.03950927952925364
yours -0.07359465956687927
less -0.04654516652226448
lung -0.016592267900705338
fear -0.027931906558849195
stranglehold 0.1628228322758029
egalit‚ -0.02399969846010208
celebrations -0.025921307504177094
rich 0.026572659197780825
blair -0.012264693319274666
altercation -0.11113040149211884
portraits 0.22680165991187096
light -0.014987196773290634
suffered -0.07909415662288666
founded -0.06656578928232193
gains -0.08734170347452164
jeremy -0.13138630986213684
equator 0.009352941066026688
pedigree 0.10007474074761075
likes 0.05599648530284565
bother -0.02489927079942491
roadshow 0.07673344264427823
oddity -0.07052364200353622
signposts 0.16078698510924977
radio -0.03989803804843514
relief 0.2461370730565654
radio -0.09147580354302018
resent 0.040840635697046934
burnley -0.06087266653776169
rake -0.03316347673535347
whitelaw 0.024749450385570526
100m -0.06757856160402298
republican 0.005413426210482915
said 0.0376376268374764
inflation-fighting 0.29294140016039216
washed 0.010462145838472582
ralph -0.12020035584767659
bondage -0.07998211681842804
minimising 0.121322604517142
viewing -0.013752315193414688
cynically -0.061822276562452316
issps -0.01947389356791973
treats -0.09211520105600357
drivers 0.008417019620537758
lake 0.11045346284906071
no -0.07861092601503644
huge 0.0072214899229861435
ear -0.04713146761059761
contend -0.0017971971537917852
as -0.05705198212295559
global -0.020170845091342926
place 0.014722531217904317
sceptical 0.016590140346023775
earnings 0.0039633214473724365
becoming -0.013821491971611977
reform 0.09994976470867795
bird -0.007987435907125473
busy -0.07384563237428665
tried -0.030182477086782455
isabela -0.10890303552150726
retention -0.06405617296695709
school -0.05132574601131573
icon 0.010756704956293106
sandpaper -0.015860095620155334
banged -0.06324148923158646
chortling -0.11050714552402496
owed -0.054561812430620193
demons -0.0354120172560215
been 0.0038684765780776856
arrives 0.05600563685099286
chiefs -0.03527374565601349
lukewarm -0.06939496099948883
automatically 0.2804331866403421
arabic -0.042357515543699265
preoccupied -0.029149651527404785
guaranteed -0.13104398548603058
overall 0.07163507988055548
living -0.0498054213821888
hawaii -0.07173747569322586
anticipated -0.028678040951490402
customer 0.15695280271271866
reminiscing -0.027145426720380783
' -0.060554221724018906
mini -0.02478734776377678
skid 0.13103256995479268
22 -0.10802667587995529
influenced -0.08746244013309479
balances -0.1032237857580185
snails 0.007097624242305756
concept -0.014294303953647614
integrated -0.04775439575314522
harbours -0.012138966470956802
ovens -0.11757639050483704
rages -0.03559616580605507
dreariness -0.06888053566217422
associate 0.0657528763016065
permanently -0.045622680336236954
counsellors -0.07733401656150818
recorded 0.005091216415166855
swedish -0.06616520136594772
non-school -0.05602583289146423
vomit -0.06431321799755096
unremarkable 0.23476846267779672
topical -0.010740689933300018
blow -0.03764447942376137
original -0.06078465669243424
sixties -0.10888310521841049
slightly 0.0012551686238674864
1972 -0.05951899290084839
violence -0.062148446838061006
worshippers -0.017614983022212982
shove -0.019155438989400864
ten -0.007806046865880489
revelation 0.09091265002886456
reminder -8.460110984742641e-05
reoffend -0.06650805473327637
would -0.05151726285072222
shape -0.020975124090909958
tackle 0.00527254119515419
